mu,phi,sigma_h,rho
-1.1189840079027242,0.9799238197859972,0.0019145355589132585,-0.9685099377854254
-1.1189840079027242,0.9770271212803416,0.0019145355589132585,-0.9624016805603117
-1.1189840079027242,0.9755318963789112,0.0019145355589132585,-0.9624016805603117
-1.1189840079027242,0.9596769336725077,0.0019145355589132585,-0.9624016805603117
-1.1164639639242049,0.9719923791182825,0.0019145355589132585,-0.9596541177583193
-1.1164639639242049,0.9551336621931604,0.0019145355589132585,-0.9639041409459121
-1.1164639639242049,0.9708892478200004,0.0019145355589132585,-0.9711898084948262
-1.1298152790667835,0.9738915482138666,0.0019145355589132585,-0.9711898084948262
-1.1181437591043326,0.9926326857756191,0.0019145355589132585,-0.9711898084948262
-1.1105931964263265,0.9947841241423084,0.0019145355589132585,-0.9711898084948262
-1.1623587196200222,0.9947841241423084,0.0019145355589132585,-0.9696373184352688
-1.1023047400892398,0.9882079078412438,0.0019145355589132585,-0.9562236894917374
-1.1023047400892398,0.9924712692820241,0.0019145355589132585,-0.9562236894917374
-1.1023047400892398,0.9924712692820241,0.0019145355589132585,-0.9632411404344773
-1.1066282957656615,0.9898478729064721,0.0019145355589132585,-0.9632411404344773
-1.1333976700893735,0.9868294875694945,0.0019145355589132585,-0.9632411404344773
-1.1333976700893735,0.9884049596504992,0.0019145355589132585,-0.9632411404344773
-1.1333976700893735,0.9718945973889146,0.0019145355589132585,-0.9632411404344773
-1.1333976700893735,0.9806972115306071,0.0019145355589132585,-0.9572675691948115
-1.1328465665033858,0.9794571786331602,0.0019145355589132585,-0.9431751292131944
-1.1228047794071085,0.9721106908109427,0.0019145355589132585,-0.9349759349171173
-1.1228047794071085,0.9683114732049176,0.0019145355589132585,-0.9349759349171173
-1.1228047794071085,0.9816845444834797,0.0019145355589132585,-0.9286398959004751
-1.1228047794071085,0.9760277972611615,0.0019145355589132585,-0.9286398959004751
-1.1228047794071085,0.9638756095442335,0.0019145355589132585,-0.9286398959004751
-1.1228047794071085,0.9713960114244394,0.0019145355589132585,-0.9286398959004751
-1.1257252339232051,0.9666781101675385,0.0019145355589132585,-0.9235048925913788
-1.1257252339232051,0.964587080302128,0.0019145355589132585,-0.8971182849360942
-1.1257252339232051,0.9641766291893162,0.0019145355589132585,-0.9099524711482896
-1.11787846544388,0.9552809515927871,0.0019145355589132585,-0.9099524711482896
-1.11787846544388,0.9497842516093908,0.0019145355589132585,-0.9099524711482896
-1.1214473788127328,0.9616854504876851,0.0019145355589132585,-0.9099524711482896
-1.1214473788127328,0.9831499385754686,0.0019145355589132585,-0.9099524711482896
-1.1214473788127328,0.9795357215546171,0.0019145355589132585,-0.9099524711482896
-1.1214473788127328,0.9899356680709798,0.0019145355589132585,-0.9099524711482896
-1.1214473788127328,0.9903296575575522,0.0019145355589132585,-0.8864197840007227
-1.1214473788127328,0.9869108051973209,0.0019145355589132585,-0.9071711881359087
-1.1216584914702434,0.97592555717173,0.0019145355589132585,-0.9118743289442243
-1.1216584914702434,0.9792808574505651,0.0019145355589132585,-0.923399721053398
-1.1391223847222263,0.9977440768855123,0.0019145355589132585,-0.9402993726868158
-1.1372188759709043,0.9932320186533079,0.0019145355589132585,-0.9402993726868158
-1.1254784287822877,0.9928203086734585,0.0019145355589132585,-0.9402993726868158
-1.1277506829887274,0.9791452222220484,0.0019145355589132585,-0.9402993726868158
-1.1277506829887274,0.9845641653931573,0.0019145355589132585,-0.9365563608780457
-1.1277506829887274,0.978368930187976,0.0019145355589132585,-0.9372913759301417
-1.1277506829887274,0.9825567553126864,0.0019145355589132585,-0.9564235226705592
-1.118599140577435,0.9802863366019593,0.0019145355589132585,-0.9564235226705592
-1.118599140577435,0.9715189620923318,0.0019145355589132585,-0.9537366410791931
-1.118599140577435,0.9742926810882581,0.0019145355589132585,-0.9688989823384458
-1.1185059446444128,0.9670289210023217,0.0019145355589132585,-0.9688989823384458
-1.1182248137244486,0.9757257306909425,0.0019145355589132585,-0.9676686377981626
-1.1125997966787746,0.978358058347731,0.0019145355589132585,-0.9676686377981626
-1.1188433363536927,0.9818259903165474,0.0019145355589132585,-0.9676686377981626
-1.1188433363536927,0.981025463488001,0.0019145355589132585,-0.9676686377981626
-1.1188433363536927,0.988528204374916,0.0019145355589132585,-0.9706368708535001
-1.117900825891817,0.987146892516309,0.0019145355589132585,-0.9706368708535001
-1.1246896497089747,0.9776612642133162,0.0019145355589132585,-0.9524624921168116
-1.1246896497089747,0.9480011676404417,0.002016518725207892,-0.9524624921168116
-1.1246896497089747,0.9386710652029624,0.002016518725207892,-0.9524624921168116
-1.1242550498457182,0.9224243712369367,0.002016518725207892,-0.9524624921168116
-1.1242550498457182,0.9136819404463521,0.002016518725207892,-0.9524624921168116
-1.1242550498457182,0.9112030295213626,0.002016518725207892,-0.9524624921168116
-1.1242550498457182,0.930882618111183,0.002016518725207892,-0.9472462734851739
-1.1242550498457182,0.9267430483872154,0.002016518725207892,-0.965659895554894
-1.1242550498457182,0.9321428671583561,0.002016518725207892,-0.965659895554894
-1.1242550498457182,0.9205913454969711,0.002016518725207892,-0.965659895554894
-1.1242550498457182,0.9256231600237907,0.002016518725207892,-0.965659895554894
-1.1242550498457182,0.9234146083558629,0.002016518725207892,-0.965659895554894
-1.1242550498457182,0.8988141956618698,0.002016518725207892,-0.965659895554894
-1.1213902771350988,0.897135097124371,0.002016518725207892,-0.9712732949313122
-1.1213902771350988,0.8929750953265826,0.002016518725207892,-0.9712732949313122
-1.1213902771350988,0.8931723368146606,0.002016518725207892,-0.9712732949313122
-1.1213902771350988,0.8848617547821408,0.002016518725207892,-0.9712732949313122
-1.1213902771350988,0.8889800640295918,0.002016518725207892,-0.9712732949313122
-1.1213902771350988,0.886154110148876,0.002016518725207892,-0.9712732949313122
-1.1190598658470015,0.908148827167618,0.002016518725207892,-0.9712732949313122
-1.1190598658470015,0.919360908674537,0.002016518725207892,-0.9712732949313122
-1.1190598658470015,0.9073958181528556,0.002016518725207892,-0.9712732949313122
-1.1171500085640946,0.9116323659821818,0.002016518725207892,-0.9685042104722871
-1.1171500085640946,0.9319806863621287,0.002016518725207892,-0.9534854729818993
