mu,phi,sigma_h
-1.167040534965282,0.9822029039419555,0.13495768621619886
-1.2452061412215485,0.9814446551530692,0.1403445417180665
-1.2162344797886395,0.9688080191191094,0.14257240197781723
-1.2525260029069876,0.9676569646266633,0.12851144069085485
-1.2540700943100482,0.9570065682829921,0.12121673078844371
-1.3154810868972726,0.9735885197658423,0.12387607220606495
-1.3898928106024449,0.9568883714590364,0.12838015743543696
-1.243322992173613,0.9698182517059376,0.1279804084547625
-1.3505180782139297,0.9679803734145291,0.12608076537008184
-1.2678096050290886,0.9613423577997124,0.12709023888276907
-1.3513297889771563,0.9642542127251285,0.13728750165447592
-1.3887132580094328,0.953898440761927,0.14159191752155476
-1.3704990515382365,0.9810385709188206,0.1458451820835499
-1.4346159395776028,0.9663421110797518,0.1343106761285965
-1.297432168649653,0.9549427474469152,0.12508952696922798
-1.3008836364112235,0.9588927977902597,0.13606485256976011
-1.3016188569807599,0.9485618883445477,0.130102423833492
-1.2630649324974002,0.9573208279243949,0.12015056048440127
-1.2331960346381836,0.9545721468374768,0.11598262192492718
-1.1773600951923882,0.9496797818927569,0.12229173644870558
-1.1668233276792146,0.9688269595890303,0.11603192143636631
-0.9527618506374398,0.9629455819201115,0.12032165645205146
-0.8673823520034262,0.9734494630850413,0.12842533011323698
-0.9992167982574975,0.9491621266474002,0.12446837548818011
-1.221930129483349,0.9686181086986347,0.11826023984894579
-1.406043666060586,0.9732226273273398,0.11920412229771091
-1.2842484610159568,0.9527333876683822,0.12153209620241887
-1.3805752035251648,0.9690240396615177,0.12838860603518587
-1.4301169590988352,0.9812971740393341,0.12838860603518587
-1.541066435440426,0.9722229553220026,0.12838860603518587
-1.5993151714801965,0.9755354696855028,0.12188244981644482
-1.6013225011332557,0.9809268310866173,0.12409431223237954
-1.5813842875263189,0.9937368270293608,0.12409431223237954
-1.6242561239500335,0.991340364055576,0.12334807493978904
-1.6043014618632698,0.9889947467720449,0.12359100126130126
-1.5332465950930056,0.9823254650547736,0.12476371717160865
-1.6882381748536224,0.9879013869186948,0.13191310194063108
-1.5528318042399436,0.9886169605075708,0.13191310194063108
-1.622571844628052,0.9891865056427852,0.13296225450534713
-1.6711029150031658,0.9909071784355516,0.12811903325640334
-1.5669622252581352,0.9785388940101867,0.124879067657138
-1.5617612072820846,0.9850842348293363,0.12866944463690522
-1.5050360626226462,0.9740733815361388,0.11999104981026702
-1.6543804850565473,0.9897770848142275,0.11774490520578274
-1.5696970491585136,0.9761145748518433,0.11944268138410777
-1.5543621887410168,0.9698007552880935,0.12298088990465161
-1.5917908299662953,0.9719045395213213,0.1283332203002041
-1.4901493914883375,0.974292814898267,0.1292098297298008
-1.6439959592415245,0.9854680815093917,0.13467939242636545
-1.5996998361938066,0.9810350739049658,0.13467939242636545
-1.610601802029194,0.9683351702931082,0.1265772305495195
-1.6247769308226856,0.9697282686745406,0.1270518732420981
-1.5404457899848814,0.970901623706169,0.12208275044168204
-1.5614051688128394,0.9678424782004866,0.11995956408460247
-1.5886160327204737,0.9708389285948811,0.12710577937782946
-1.613704098744333,0.9707690588582369,0.1302844978698372
-1.6376634987140013,0.9961367203060173,0.13039290734050454
-1.5591222065297592,0.9888876487925559,0.13059041629695672
-1.3666834362844045,0.9686603811594328,0.14187115866248295
-1.3848944035823554,0.9914576382486979,0.15045620908334947
-1.291914278568833,0.985901446031165,0.13372359035365922
-1.364564614222664,0.9772834722273648,0.12401239297004694
-1.3754163456499395,0.9609361878808377,0.1256000849684133
-1.3196328585463633,0.9782500493110194,0.1402482800590772
-1.3030048070792188,0.9647757730763616,0.13577215823566327
-1.3509404158023568,0.9618213333561367,0.12287141474675463
-1.3289829389223373,0.9836965994195013,0.12477743897654739
-1.3388643379248877,0.9679786989363172,0.12391715516425858
-1.4017164970724922,0.9625321010550854,0.12442455960944845
-1.357423918646702,0.9707375612322925,0.11889786898738096
-1.3218568693084054,0.9695135892049315,0.13382670059412932
-1.2416040927737113,0.9565328428258019,0.13661611870032667
-1.293586175085918,0.9725833000535279,0.1271177113368863
-1.2825039767939712,0.960353772816091,0.13411950326746244
-1.3426966143155965,0.9336060293719897,0.13223833291542303
-1.4068817009881136,0.9693922032392016,0.1346550039677784
-1.3224656183008272,0.9914828992440654,0.1470357187682827
-1.272684745108997,0.9683747290581343,0.13204060850527954
-1.2733565870605557,0.9836859731505515,0.13204060850527954
-1.3186160427982767,0.9864701036879785,0.12925844700799421
-1.1510349113477247,0.9845986249489646,0.14764968243948642
-1.0728262887019793,0.9800239883111219,0.1583574543438983
-1.1684905297034063,0.9701951653754044,0.15298824143473072
-1.203177702108038,0.9596288984633552,0.14869201323750963
-1.1273357162234203,0.9326008162232712,0.15821528969917098
-1.1028938819117413,0.9273638514292359,0.16030719479455074
-1.0697807388235936,0.9274908850180356,0.1577198488205252
-1.191077633100311,0.943480404043836,0.1554013678929938
-1.1211182480394986,0.9333201223066617,0.17251398822652791
-1.212475970331103,0.9400802377804154,0.16653327031441778
-1.2126174069894364,0.933252993343709,0.16109757546011944
-1.1547292308530328,0.9425413439850959,0.1424733131887578
-1.2058127754297245,0.954723175762897,0.13170156968282548
-1.1760835994843906,0.9532701633979677,0.1402325732588233
-1.1965804205883475,0.9410480226498852,0.14449905930925752
-1.2199727477822486,0.9679576231958819,0.14465751664442944
-1.1333618750293672,0.9505060863840119,0.14076889303945778
-1.068785252781387,0.9441648815130584,0.13734641452681767
-1.0077593956000968,0.9387294032026711,0.13133878083357844
-1.0324655006394439,0.9337323942100219,0.13669116563383707
-1.002385755687019,0.9198188342026697,0.1317260189400006
-1.002385755687019,0.902567783390366,0.12785298979757798
-1.1192579623980132,0.9072128236636163,0.12834921944872607
-1.1192579623980132,0.902841205930006,0.14004260075405
-1.0446870393953769,0.9016600367450891,0.14093552846914884
-1.064740312453918,0.8928840121523223,0.13694442698529272
-1.0711222499133732,0.8966201426824725,0.13238364764559218
-1.0295084023940382,0.9099788223936254,0.12831671045944995
-0.9902665838399891,0.8788475725563151,0.13431200148130396
-1.0746758761221311,0.8768132737135027,0.13554864508546988
-1.0950853183162528,0.9051033845134092,0.13138973639703833
-1.1280791360396334,0.9202907507575512,0.12367004434323914
-1.160724250704243,0.9312469625648006,0.11662481568699928
-1.0012526112318956,0.9434370966774366,0.12607169875853366
-1.0366584039432063,0.9571434861750548,0.12046746859924194
-1.1072062746105242,0.9279546920277238,0.11869380750787517
-1.133920894932525,0.9171896973247031,0.11869380750787517
-1.1790758090565945,0.9349394557933558,0.11207638115067375
-1.1171131492103654,0.9094421441810835,0.11950898870264327
-1.134916460575647,0.9261098588519804,0.1230313067411948
-1.1830897892312353,0.9330347450749917,0.1230313067411948
-1.199801009811008,0.9096986778890439,0.1230313067411948
-1.2010135941888576,0.9125720126195658,0.1230313067411948
-1.076791944461858,0.9280458090826204,0.11713063988452811
-1.1874865290041032,0.9218365369572366,0.11906827669406868
-1.2018813666431898,0.9230312124746415,0.12632782275146948
-1.222063987592791,0.9340610231462467,0.12708261717104752
-1.0576468240457688,0.9444870247090935,0.1192797355002824
-1.0967489936403694,0.9162366376681406,0.12004306835026804
-1.1218825282860487,0.9233875556269209,0.11057502695935702
-1.1772528640538729,0.9037492530359288,0.1109453932753634
-1.1777271646336267,0.9096762032975995,0.10995074338120542
-1.1895717721509131,0.9064728126824101,0.10574078391966765
-1.1340554622182064,0.9178805936016372,0.10662558451669382
-1.0532019721421981,0.8977953877972846,0.10692626535779624
-1.0247944278470311,0.8982593028644967,0.1032353160690864
-1.013720368107121,0.9101470997070811,0.09845190197996406
-1.0677711273400983,0.8998621432568654,0.10418092198473136
-1.1119167342582863,0.8966752313616753,0.10418092198473136
-1.1591546681348466,0.9023173237036305,0.11329804933063171
-1.1782352734025816,0.9094503481611093,0.11329804933063171
-1.14166229462934,0.9118359944653455,0.11041190875163344
-1.1017405999456018,0.9245506852438184,0.12003468014778736
-1.187192967209914,0.9272958432010437,0.11283864585956341
-1.0495958498524793,0.9448051144616407,0.11302858135017303
-0.9489445236093245,0.9776475070139082,0.11302858135017303
-1.0030479030709953,0.9675744032001403,0.10844994649917122
-1.034999210365069,0.9486116747147115,0.10940163004050461
-1.1532295041607123,0.9211871045018425,0.11497780614763371
-1.1841239715478271,0.9046959040632337,0.11320416047072471
-1.199538227429891,0.8982951900021439,0.11748729131312785
-1.1877781266620004,0.9086660656491166,0.11474892188980074
-1.1917515601951694,0.9222452653589621,0.10586235532582348
-1.1035008099175905,0.9133434948600715,0.122361381638212
-1.1733881047727859,0.9338601079900976,0.12429843334983127
-1.2148296868841424,0.9308390436331763,0.1213771414644999
-1.1701669869754436,0.9209400857038612,0.11791094149429757
-1.1692939388153452,0.9455968223069724,0.11468897203711637
-1.1070159976904221,0.9397436682565214,0.11178494282281391
-1.216682597045126,0.9300750579785496,0.10903685590609878
-1.2327149486311877,0.9197891885170574,0.10614881948794752
-1.174983594634343,0.9335520015359863,0.10819025650904825
-1.2392946600338057,0.9454978184487197,0.11386953229974828
-1.1783017618222924,0.9427239449789927,0.11899930011516652
-1.1252263288164095,0.9368068193207543,0.11864413749049789
-1.0499070522927636,0.9276739123782913,0.12371617410214666
-0.9782950506842547,0.9069951642891985,0.11253682356311155
-0.9305311192924723,0.91131110140765,0.12278248235359952
-0.8976581728454466,0.9052520682407688,0.12362609025653218
-0.8736770459404626,0.8991977762184113,0.1259483815666935
-0.8831976221642611,0.9023321182233842,0.11802176309700452
-0.9394852944505522,0.9015201269211213,0.11317171056766404
-1.0475432158604647,0.8986506132615022,0.12094789336293757
-1.0458327669295264,0.8944327306584036,0.10898486421903676
-0.9886962808926343,0.9112814840938569,0.11001611261167597
-1.095166977119722,0.9373412376391053,0.11454432951691555
-1.2250740090475325,0.9430444914938706,0.12044991257434512
-1.2953766463181342,0.9505541745094225,0.1259422698153706
-1.2768466364265034,0.9671668902620836,0.1336747009789546
-1.26253566146905,0.9567331850451136,0.12966699170602639
-1.2192754998067548,0.9798299138031763,0.12359092126452055
-1.02931935364647,0.9767003973572472,0.11639555604401408
-1.1831778395925359,0.9714224744873011,0.11562543521007466
-1.2001494507155073,0.9429881030999102,0.1227377589982617
-1.0772526078926505,0.9503870354906131,0.1237670927231786
-0.9680756272014883,0.9598215692757593,0.12729663775423672
-0.9980069407117415,0.9532128360093831,0.11325834454750888
-1.1514538772581422,0.9552685369648903,0.10621957640598037
-1.2454482270489036,0.9653839854736421,0.11402122399596955
-1.298410549713462,0.9665833170532288,0.11402122399596955
-1.2177817807947653,0.9479089668672627,0.11851828845466646
-1.0862841432590729,0.943741134414147,0.10671392078376792
-1.044295518800138,0.9505788780070513,0.10671392078376792
-1.1147601819430006,0.9397821792366138,0.10940692946285542
-0.9633354839514349,0.9636806851353434,0.10940692946285542
-1.0056565296447286,0.9714399113728353,0.10568093465841395
-1.0013618225138,0.9879609090588474,0.1138179753235652
-1.1355706185999568,0.9755288152678454,0.11264333360709587
-1.2670206161608004,0.9680492009359957,0.10858499967405874
-1.2949077851807567,0.965670526666137,0.12064595926804718
-1.3094317590549214,0.9701511818139257,0.11799421646008118
-1.3315253400394114,0.9400644094081775,0.11981136339981117
-1.1627512565986164,0.9384569370888084,0.11610790845545668
-1.1692696004543746,0.9388315703606691,0.10716965663588095
-1.2377351288275036,0.9445784240596167,0.12585453561870685
-1.3054902286707872,0.9685393990772144,0.12212018445213184
-1.3260343616852484,0.9813849417849326,0.11991974672491569
-1.1850324317177647,0.9771785053510755,0.11462855351599978
-0.9930043564901646,0.9757945411787947,0.11635555365422535
-1.0242714631628036,0.979923530576362,0.11589533994312053
-1.0379997865808486,0.9808066971291303,0.11347239586941141
-0.971877135775973,0.9808066971291303,0.12199217090840672
-0.895020395206871,0.9806126109837572,0.1169497710543432
-0.8597552632249641,0.9894104919913944,0.10753646625946045
-0.8638022888034232,0.9692813032733218,0.11775034048618234
-0.9922690342394574,0.9748439050650214,0.11218751878695546
-1.0222694508871484,0.9652620263040309,0.12050021013729506
-1.0304599546037119,0.9592242487789534,0.11175217341934414
-0.9740934295384632,0.9654860643920126,0.11175217341934414
-0.9832978963737457,0.965405482465634,0.11328668634121916
-0.9900823916349302,0.9684538761470292,0.11328668634121916
-0.9585356662494018,0.9499160236767005,0.11617500840811913
-0.8696761058927692,0.9396770655926001,0.11935095567180161
-0.9631671276977004,0.948614904900154,0.12917824189707958
-0.9587391905738886,0.9382487685550592,0.11741429579349903
-1.1019698647711558,0.9474196386736902,0.1205487831690348
-1.0880177353088352,0.9619908600247888,0.12194073027573352
-1.1113811602269517,0.980513418817115,0.13370187179681217
-1.19809983350921,0.9734208671990042,0.11546791385956152
-1.2694788771143808,0.9855232037157218,0.12264256543164279
-1.2386471555790826,0.9710520132519933,0.11725053319946285
-1.217330662843714,0.979463130835749,0.1135444748661617
-1.0631750780475122,0.9801721620121828,0.11545801289531055
-1.0421159157390179,0.9406349603260945,0.11545801289531055
-1.1449225447471512,0.9582580578906853,0.11193267268174263
-1.1826905016522364,0.9673979200139269,0.11410532763886232
-1.2253571955843188,0.9654178302726076,0.10869354654267546
-1.273429610542557,0.9433533804904133,0.11957325032715119
-1.2323818470495507,0.9451875011588922,0.11265492486939369
-1.2227145055907733,0.9513433504091376,0.11265492486939369
-1.205037138702295,0.9541193890387145,0.11442930186676828
-1.2048979518219975,0.9852510855022388,0.11442930186676828
-1.3664904905164392,0.9689187671614664,0.1130528090186915
-1.4978644995063986,0.9694290924281113,0.11027697002717748
-1.3923844674731658,0.9619759538874326,0.09703738522115637
-1.3779427544859126,0.9760185256770505,0.11135915250373668
-1.3524791032134382,0.9858927045390541,0.10584172777909823
-1.451215276556788,0.9878288553969532,0.10888749488185091
-1.453482385698925,0.9833243900755252,0.11003120285377478
-1.4861636420742295,0.9639118537653676,0.11441540287894954
-1.3590236749376041,0.9714602981227155,0.11717415530214487
-1.4634382776291919,0.9937267033590702,0.12076324704784551
-1.3563642440093142,0.9924680950419008,0.10039399415228147
-1.3034189366242888,0.9974599788814478,0.10862402069577422
-1.2419559627881434,0.9743022246287809,0.10812930683858014
-1.1674612643122333,0.9675138223085077,0.10877054792566383
-1.0895229970352325,0.9559194425519709,0.1049426346382624
-0.9518539602244529,0.9672950809995109,0.10897035430854056
-0.973338829159024,0.9603911459507999,0.10779281658538775
-1.0310353977231324,0.9564821012932984,0.10427391163357433
-0.9617747973730002,0.9697516714647848,0.09801651604271601
-0.8991504146246315,0.9631730352675844,0.11524923236392837
-0.8740531521946208,0.9504024478277838,0.11083769465660373
-0.8506347183590232,0.9626832576956167,0.11941776697871931
-0.8125333869110811,0.982039423568809,0.10631601940067043
-0.7938807982285635,0.9930702481724357,0.10631601940067043
-0.7875034081792661,0.9820464166045023,0.11898652943058857
-0.6361324279421109,0.9728485789049536,0.11014862614410612
-0.6943674862376497,0.9747717814965283,0.11163686620493919
-0.8232541496581968,0.9795858960823332,0.12069596174268785
-0.8030154306929489,0.9812630343176988,0.11530465918374198
-0.7836810874488752,0.973054733990297,0.11530465918374198
-0.8842906393476924,0.9790260860627888,0.11612935491331934
-0.90192204026962,0.9705857224786558,0.11988553492861811
-0.8374166929366758,0.9708995171830372,0.11139319752549748
-0.7912950184802388,0.9593617379877799,0.12386843794421878
-0.7677643243839933,0.9535682666682369,0.11902255944566995
-0.8280458101603635,0.9669896302948728,0.11524972176327417
