t,returns,jump_true,jump_size_true,p_jump,jump_size_hat,jump_pred,ess,resampled
0,0.00354717,0,-0.0,0.017968230429800724,2.071536513016584e-05,0,963.2981968376585,0
1,-0.00989984,0,-0.0,0.019522744054139056,-0.0002533282661580352,0,973.977311843138,0
2,0.00800451,0,-0.0,0.007331052562567757,1.2755435690865351e-05,0,981.2119430439533,0
3,0.00990565,0,0.0,0.02170065175441406,9.552646244839099e-05,0,958.3995685166739,0
4,-0.01901035,0,-0.0,0.08007943409168315,-0.0014858852026166129,0,799.6850713437013,0
5,-0.0125218,0,-0.0,0.03355928232852686,-0.0004121652276678682,0,962.982858938343,0
6,0.0017784,0,-0.0,0.0154872990746417,7.998149288641225e-06,0,968.6382469847005,0
7,-0.00266243,0,-0.0,0.011071427442446186,-6.35956499747598e-05,0,962.3693797285687,0
8,0.00033199,0,-0.0,0.015462885213643028,-3.6132678060438044e-05,0,964.1071951923863,0
9,-0.00803044,0,0.0,0.02277372292621452,-0.00017883579878028854,0,964.0098721438701,0
10,0.00929398,0,-0.0,0.015733870744284898,0.00010241107701460485,0,965.7691298574468,0
11,0.00827792,0,-0.0,0.017533677207575718,8.025012622651394e-05,0,961.3710374948636,0
12,0.00116031,0,-0.0,0.009768731782839938,-2.923662824212199e-05,0,965.8680397664479,0
13,0.01177241,0,-0.0,0.01911025302932247,0.00017170451421500587,0,968.1897446634345,0
14,0.00517509,0,-0.0,0.019892119317966406,2.6517306383948692e-05,0,966.8894526467436,0
15,-0.00809292,0,0.0,0.017766728432900163,-0.00022821785466864896,0,969.2973458235674,0
16,0.00418751,0,-0.0,0.013215677703330373,5.815572561316846e-05,0,960.3378071251609,0
17,-0.00908883,0,-0.0,0.023396986305308145,-0.00032509422713337976,0,966.6578674168342,0
18,0.0092845,0,0.0,0.01584211687430117,0.0001275316195411474,0,964.5659976762597,0
19,7.4e-07,0,-0.0,0.010070720445185139,-3.361307138908084e-05,0,961.4980558826646,0
20,-0.00134862,0,-0.0,0.014731334266783858,-7.261550926184364e-05,0,964.3740029210254,0
21,-0.0063093,0,0.0,0.017740795789152924,-0.00012350661950581772,0,974.4766216225308,0
22,0.01272541,0,-0.0,0.026434898820643437,0.0002361503155813463,0,957.6293205831645,0
23,-0.00104529,0,-0.0,0.012026063688766318,-1.9292149452436674e-05,0,974.1225574084705,0
24,-0.00378328,0,0.0,0.013308584586249516,-7.108792851654886e-05,0,971.7963560901819,0
25,-0.0182424,1,-0.01522107,0.08501065892220319,-0.0015550806476675935,0,834.5402585849419,0
26,0.00582309,0,-0.0,0.011883875388142342,5.3896081115399764e-05,0,961.991025822338,0
27,0.00415444,0,-0.0,0.017377471507580955,-2.9346940921892494e-05,0,961.1002756233718,0
28,0.00462733,0,-0.0,0.008412337430036363,3.1076410543342606e-05,0,966.10639161788,0
29,0.00480821,0,-0.0,0.011521916371225844,3.348612288273333e-05,0,964.7697652018524,0
30,0.00235688,1,-0.0195596,0.016989930996985245,-6.302903660942143e-06,0,967.9644614526691,0
31,-0.00356415,0,-0.0,0.012185122990710893,-5.1829538259165424e-05,0,967.4350083781662,0
32,-0.00462243,0,-0.0,0.01786591889193868,-7.616214328302875e-05,0,967.4350938191401,0
33,-0.00763773,0,-0.0,0.02100075424281833,-0.0002189712977246014,0,975.6766454425984,0
34,0.00665979,0,-0.0,0.012186611361407565,6.087506578084623e-05,0,965.2437931038271,0
35,0.01178972,0,-0.0,0.014410869850171393,5.6355876263122526e-05,0,966.8575698345697,0
36,-0.00063947,0,-0.0,0.012466633860359495,-4.4139825948805835e-05,0,967.4067543820615,0
37,-0.00790156,0,-0.0,0.019228528944370108,-0.00019712647452407053,0,975.4054666520742,0
38,-0.00774481,0,-0.0,0.02159241329372232,-0.0002445469853317977,0,969.0711003203069,0
39,0.00700593,0,-0.0,0.013743979072555123,4.9965151794844516e-05,0,957.9328410439857,0
40,0.00793254,0,0.0,0.0157456736118573,7.657617324090961e-05,0,966.6747820244324,0
41,0.00593154,0,-0.0,0.016669018235012434,4.2877774892844514e-05,0,972.1221829597059,0
42,-0.0061551,0,-0.0,0.01729762408476186,-0.00016628646414630177,0,970.4155298031685,0
43,0.00282161,0,-0.0,0.016385315188578387,-1.4050779355423202e-05,0,968.8031407664538,0
44,0.00166686,0,-0.0,0.0074854882719089045,-3.4697014903149803e-06,0,964.5990770960913,0
45,0.00268689,0,0.0,0.012470771296031014,-2.6885207054157685e-06,0,971.3953631408045,0
46,0.00921429,0,-0.0,0.018419362600263032,9.684218741103768e-05,0,968.7216222697956,0
47,0.00273596,0,0.0,0.010820224836279898,-8.799396945478574e-06,0,972.4215995886308,0
48,0.00728914,0,-0.0,0.018079165795575527,9.684376757625221e-05,0,960.0283403999839,0
49,-0.00998642,1,-0.01116221,0.024511706577420207,-0.000261027768205755,0,968.5435729734148,0
50,0.00339119,0,0.0,0.008785802539705147,2.7752706075837437e-05,0,972.3596063194408,0
51,0.00681288,0,-0.0,0.012129715695419806,3.0329351581664234e-05,0,971.7899345211038,0
52,-0.01407156,0,0.0,0.03685486552956276,-0.0005171981101464749,0,950.8760027913387,0
53,-0.00269671,0,-0.0,0.01329043802724891,-6.305519676305264e-05,0,968.5249812440508,0
54,-0.00420373,0,-0.0,0.021030409916683396,-0.00010773823113657131,0,965.9296267280866,0
55,-0.00588878,0,-0.0,0.016935922591585342,-0.0001415932258545969,0,968.9835408219202,0
56,-0.00225142,0,-0.0,0.01284802701244723,-4.1385580553853856e-05,0,967.3520392225442,0
57,0.01544941,0,-0.0,0.030643559813618448,0.00036671018514630184,0,937.0769031732501,0
58,-0.00815831,0,-0.0,0.018919309191738568,-0.0001785643373808563,0,965.459375099535,0
59,0.01018278,0,-0.0,0.010023177696594877,9.5533895224966e-05,0,961.8011732723522,0
60,-0.0163287,0,0.0,0.05436710342545249,-0.0010014292266849025,0,897.980063451944,0
61,-0.00284885,0,-0.0,0.014802401596150042,-6.848588898558052e-05,0,971.4101010177776,0
62,0.00212753,0,0.0,0.010508615461941338,-9.040594594859663e-06,0,970.8838615221493,0
63,0.00636222,0,0.0,0.00785789812369505,2.8059894181264657e-05,0,968.7323951686894,0
64,0.00761227,0,-0.0,0.01587260450288112,3.5922800663088244e-05,0,966.881656562045,0
65,0.00843347,0,-0.0,0.021379914172164005,0.00010806540513820745,0,963.5921390737939,0
66,-0.00298725,0,-0.0,0.017758278768336903,-0.00011318306476607503,0,968.024752176987,0
67,-0.00412352,0,-0.0,0.024192014416287277,-0.00013983588866541496,0,957.8888956966834,0
68,0.00907976,0,-0.0,0.021788802164775783,9.287942408528791e-05,0,958.2050186662459,0
69,-0.00141304,0,-0.0,0.011891425122001423,-3.0908149028149145e-05,0,972.0612238418004,0
70,-0.01225686,0,-0.0,0.03096897105359605,-0.0004843607551890393,0,971.9388566010047,0
71,-0.01083287,0,0.0,0.018170861113303495,-0.0002571590423642108,0,968.8264686626195,0
72,-0.00869452,0,-0.0,0.025448912914129068,-0.0002759951796952829,0,975.7346931617288,0
73,-0.00313777,1,-0.00860937,0.014913414981966737,-8.202533658791588e-05,0,968.3491322335406,0
74,0.00192426,0,-0.0,0.012372000442718706,9.935819589659634e-06,0,972.974719352877,0
75,0.00740485,0,-0.0,0.010194761640614999,5.4112825745162487e-05,0,964.7326578557027,0
76,-0.00377253,0,0.0,0.013263057666851041,-7.964914589254872e-05,0,974.3531257171957,0
77,0.0020854,0,-0.0,0.012361360198754086,-3.7936964484135516e-06,0,966.2955593077236,0
78,0.0067559,0,-0.0,0.013026014394300924,6.158560918542147e-05,0,965.9284688091581,0
79,-0.02847359,1,-0.02588013,0.5280000000000004,-0.013812734338017186,1,1000.0,1
80,0.00506775,0,-0.0,0.010770396327965472,-1.9056892495425846e-06,0,975.1366711722195,0
81,-0.00611926,0,-0.0,0.014010854271710673,-0.000138643020639558,0,968.0800868027042,0
82,-0.00313054,0,-0.0,0.018594391672849774,-5.674890134242476e-05,0,967.4973726129232,0
83,-0.00331738,0,-0.0,0.020802422981673296,-0.00011337275760058262,0,961.2443251370089,0
84,-0.0114584,0,-0.0,0.03162188937589618,-0.0003992907978092531,0,962.1470488740719,0
85,0.00536972,0,-0.0,0.01499625185200085,2.1936557558581866e-05,0,966.18157097544,0
86,-0.00419402,0,-0.0,0.011392796165869025,-7.44157196653612e-05,0,963.3300268193838,0
