t,output_gap_obs,inflation_obs,interest_rate_obs,output_gap_true,inflation_true,interest_rate_true,output_gap_filt,inflation_filt,interest_rate_filt,output_gap_filt_std,inflation_filt_std,interest_rate_filt_std,ess,resampled
10,-0.041153,-0.130168,0.142575,-0.032527,0.036472,0.106695,-0.06836892794595748,-0.03401161786760876,0.11984609369144798,0.10167965105941407,0.08240854352676719,0.0705345033217785,1283.8027916701394,0
11,0.584394,0.211379,0.203779,0.184891,0.033062,0.113253,0.15327741474676593,0.09803658042802482,0.1996806935799197,0.09455172629167408,0.07965712565485115,0.07114868534809395,2000.0,1
12,0.111494,0.197487,0.185161,0.085024,0.103636,0.215874,0.1312320345015079,0.11021105205988412,0.2207884639490246,0.10367000630220001,0.08287795630327419,0.07152027473491465,1326.4160233866257,0
13,0.07871,-0.202341,0.078025,0.065127,-0.012659,0.138171,0.04871114608984239,-0.047674408405097325,0.12154582536731064,0.10689322934511641,0.08657479572803609,0.07452688410097762,2000.0,1
14,0.2333,0.371675,0.385655,0.123674,0.105098,0.214978,0.18098757597968618,0.18673335248591724,0.2984713957091152,0.1025191836227354,0.08472721882356503,0.06752612263663199,2000.0,1
15,0.223877,0.188011,0.252984,0.044755,0.089192,0.231364,0.16189969974741977,0.13011909994245988,0.30716796556495096,0.10304834246623104,0.08291463319854774,0.06946379309934259,1271.3082412350675,0
16,-0.337345,0.148854,0.36438,0.062149,0.150383,0.283892,0.025585087424174202,0.11121383794287701,0.32287645847738783,0.1096245813506532,0.08250756850603327,0.06755556164988091,2000.0,1
17,-0.21264,0.35763,0.338257,0.123825,0.119097,0.325883,-0.014675006322702829,0.15690365668800335,0.33682432977715004,0.10884892152468695,0.08155450400023961,0.07242002439919505,2000.0,1
18,0.21663,-0.009901,0.204088,0.174572,-0.033796,0.26274,0.022230045276846563,0.030488925280984798,0.255935937222574,0.10583505519684078,0.08195061848025968,0.07050023459759253,2000.0,1
19,-0.032898,-0.051975,0.195667,0.110077,-0.047762,0.194569,-0.007250976305324296,-0.005639387791092215,0.19532939788411322,0.1082973339858721,0.0817581607644826,0.06963726097059447,1362.2814295530166,0
20,0.510969,-0.13494,0.379433,0.248564,-0.035895,0.235834,0.18477133926919503,0.03624897291682582,0.27928662888866046,0.10368676718863291,0.08153885152129335,0.06837393883681249,2000.0,1
21,-0.007615,0.052468,0.246008,0.05542,-0.03481,0.190484,0.10624869663828651,0.04614824823632704,0.2562960917044359,0.10618172470020341,0.08375405415151634,0.07216994994932464,1260.1387037163242,0
22,-0.278406,0.157758,0.085741,0.1085,0.086268,0.256888,-0.04064865991295875,0.019326105839542217,0.1587135040036413,0.1073609936454246,0.07818020003743505,0.07090610323876896,2000.0,1
23,-0.190825,0.017934,0.247307,0.062778,0.015732,0.268831,-0.044692765624268965,0.03415781128437184,0.17543761695723645,0.10331460467448524,0.08028154403448327,0.07204539700865077,1056.3642408568057,0
