t,y_obs,S_true,I_true,R_true,S_filt,I_filt,R_filt,I_q05,I_q50,I_q95,R0_mean,R0_q05,R0_q95,ess,log_lik_inc
63,431.0,701.0,881.0,8418.0,656.5960916426725,878.5314770877903,8464.872431269536,846.0,878.0,911.0,3.104384902643857,2.991721046286128,3.186977895143423,4708.005637503487,-4.177199127414818
64,390.0,682.0,811.0,8507.0,636.8086058510382,803.0048978619591,8560.186496287,772.0,803.0,835.0,3.104068735320165,2.991721046286128,3.186977895143423,3957.2501904995775,-4.237483938212465
65,401.0,661.0,748.0,8591.0,625.1861406970104,752.9834099310992,8621.830449371888,724.0,753.0,783.0,3.1047148400405087,2.991721046286128,3.186977895143423,3913.7292420064528,-5.049785531119318
66,349.0,652.0,696.0,8652.0,611.0419290033699,694.3084825847301,8694.6495884119,666.0,694.0,722.0,3.104590769352821,2.991721046286128,3.186977895143423,3631.5721162020814,-3.9761271782889205
67,319.0,639.0,635.0,8726.0,597.9048106469743,638.7222741055209,8763.37291524751,612.0,639.0,665.233198238358,3.104419107346049,2.991721046286128,3.186977895143423,3406.870691198548,-3.9218391759367437
68,294.0,622.0,594.0,8784.0,586.1631515628047,587.6168138941835,8826.220034543008,562.0,587.0,614.0,3.104414837467447,2.991721046286128,3.186977895143423,3189.487441896579,-3.8787454775493906
69,272.0,613.0,545.0,8842.0,575.8550691717837,541.1287907388836,8883.01614008933,517.0,541.0,567.0,3.104396527537289,2.991721046286128,3.186977895143423,2970.4984863290456,-3.8464467186000926
70,226.0,601.0,488.0,8911.0,564.2543999999996,488.0603999999996,8947.685199999993,466.0,488.0,511.0,3.10295941484302,2.991721046286128,3.186977895143423,5000.000000000007,-4.5896774175258646
71,211.0,590.0,451.0,8959.0,554.4359765515637,442.88129784932744,9002.682725599116,421.0,443.0,465.0,3.1021594365098477,2.991721046286128,3.186977895143423,4417.484029324037,-4.017054143887206
72,162.0,580.0,413.0,9007.0,541.7755999999996,389.6503999999997,9068.573999999993,370.0,390.0,411.0,3.102899367750294,2.991721046286128,3.186977895143423,5000.000000000007,-7.195659272708754
73,215.0,577.0,383.0,9040.0,540.5465999999997,371.9519999999997,9087.501399999994,352.0,372.0,391.0,3.1012429004073976,2.991721046286128,3.186977895143423,5000.000000000007,-6.444554228463183
74,185.0,573.0,362.0,9065.0,536.4044007452419,346.860715685303,9116.734883569445,328.0,347.0,365.0,3.101255211699994,2.991721046286128,3.186977895143423,4185.733621356341,-4.111558013478652
75,167.0,564.0,341.0,9095.0,531.6305384874229,321.3988909595903,9146.970570552985,304.0,321.0,339.0,3.101668070898848,2.991721046286128,3.186977895143423,3477.8906640868054,-3.7405653983562326
76,169.0,557.0,312.0,9131.0,528.7801999999996,302.9631999999998,9168.256599999993,286.0,303.0,321.0,3.102080309898459,2.991721046286128,3.186977895143423,5000.000000000007,-4.8177083316676805
77,146.0,553.0,294.0,9153.0,524.73326728221,280.61721451545935,9194.64951820233,264.0,280.0,298.0,3.1021198019630827,2.991721046286128,3.186977895143423,4678.9335734044125,-3.6649684797925275
78,155.0,546.0,270.0,9184.0,523.1331999999996,267.9377999999998,9208.928999999993,252.0,268.0,284.0,3.101402172075662,2.991721046286128,3.186977895143423,5000.000000000007,-5.560660382659269
79,102.0,541.0,255.0,9204.0,516.1858987306555,237.7644654634467,9246.049635805899,221.0,238.0,254.0,3.102865075100066,2.991721046286128,3.186977895143423,3010.501833818258,-4.876863696628594
80,128.0,537.0,235.0,9228.0,514.4878537962097,225.6122625471673,9259.89988365662,210.7920664255939,225.0,241.0,3.1019726226347366,2.991721046286128,3.186977895143423,4041.571223806204,-4.702002559971457
81,116.0,534.0,216.0,9250.0,512.2486616231848,211.70835261049623,9276.042985766315,197.0,212.0,226.0,3.1019542962687314,2.991721046286128,3.186977895143423,3301.063841708814,-3.9983013002945986
82,92.0,529.0,202.0,9269.0,508.47299852093875,192.3853259437634,9299.141675535298,178.0,192.0,206.0,3.1018363945916225,2.991721046286128,3.186977895143423,3361.1177318214054,-3.3934810591538493
83,87.0,525.0,178.0,9297.0,505.4579821386171,176.13942035048717,9318.402597510893,162.0,176.0,190.0,3.101720216091169,2.991721046286128,3.186977895143423,3199.5393571813174,-3.270157848808272
84,79.0,521.0,170.0,9309.0,502.63012654086583,160.8694910969829,9336.500382362152,148.0,161.0,174.0,3.101666745665964,2.991721046286128,3.186977895143423,3019.938466053402,-3.2275619746583226
85,77.0,520.0,157.0,9323.0,500.35678869278604,148.82817827642822,9350.815033030787,136.0,149.0,162.0,3.101825368486474,2.991721046286128,3.186977895143423,2824.279535070867,-3.261683958754068
86,60.0,519.0,139.0,9342.0,497.67946540372213,133.34463359706265,9368.975900999216,121.0,133.0,146.0,3.101694477828507,2.991721046286128,3.186977895143423,2563.6812721340434,-3.4977179703799015
87,61.0,516.0,127.0,9357.0,495.6183999999996,122.28539999999991,9382.096199999993,111.0,122.0,134.0,3.1016714840485244,2.991721046286128,3.186977895143423,5000.000000000007,-3.0891999393580942
88,54.0,512.0,116.0,9372.0,493.6731668193688,111.31895045340129,9395.007882727237,100.0,111.0,122.0,3.101641354013235,2.991721046286128,3.186977895143423,4862.61146232806,-3.053613695694372
89,54.0,510.0,110.0,9380.0,492.1579989128295,103.2189974255771,9404.623003661593,93.0,103.0,114.0,3.1019686854737873,2.991721046286128,3.186977895143423,4664.109264132647,-3.1020441160415206
90,54.0,510.0,103.0,9387.0,491.03213347937606,97.3565801344169,9411.611286386204,87.0,97.0,107.87091867242717,3.10248845301066,2.991721046286128,3.186977895143423,3932.418197578199,-3.3929661718345923
91,61.0,509.0,91.0,9400.0,490.7675999999996,95.47559999999993,9413.756799999992,86.0,95.0,106.0,3.1026594877184883,2.991721046286128,3.186977895143423,5000.000000000007,-5.233615431493332
92,35.0,508.0,85.0,9407.0,488.6930668988099,84.11270402893018,9427.194229072258,74.75388650057532,84.0,94.0,3.102144037487511,2.991721046286128,3.186977895143423,3901.176581174576,-3.5542359853576304
93,45.0,508.0,76.0,9416.0,487.80962661035977,79.6036031217715,9432.586770267864,71.0,79.0,89.0,3.1028143902549408,3.0529303737903115,3.186977895143423,4377.049559182117,-3.3553631342029018
94,33.0,506.0,67.0,9427.0,486.37931229217975,71.60152932987941,9442.019158377934,63.0,72.0,80.0,3.102611886401044,3.0529303737903115,3.186977895143423,4023.473207468073,-2.909318706382318
95,32.0,506.0,63.0,9431.0,485.1942259055247,65.3357490133732,9449.4700250811,57.0,65.0,74.0,3.1026176242672188,3.0529303737903115,3.186977895143423,3781.3743596633735,-2.7694279682514926
96,28.0,506.0,61.0,9433.0,484.1096926204318,59.159958408507016,9456.73034897106,51.0,59.0,67.0,3.102557142066947,3.0529303737903115,3.186977895143423,3466.787735721956,-2.7465278973851275
97,25.0,503.0,53.0,9444.0,483.2155131890473,53.46626417699777,9463.318222633954,46.0,53.0,61.0,3.102228260441911,3.0529303737903115,3.186977895143423,3138.2878066976605,-2.705290272155036
