t,y_obs,abs_y,bpf_ess,bpf_max_w,bpf_entropy,bpf_rel_entropy,bpf_ll_inc,bpf_filtered_mean,apf_ess,apf_max_w,apf_entropy,apf_rel_entropy,apf_ll_inc,apf_filtered_mean
0,-0.69295745,0.69295745,963.0817882973125,0.0011392152030908953,6.8839486697325,0.9965536403233519,-1.1824924389488842,-0.9457847138927397,990.1169539593749,0.0020370181980797677,6.902861505562628,0.9992915537360741,-0.006851554832900675,-0.9470241686021394
1,0.66113097,0.66113097,924.4340612336268,0.001235944168468435,6.854534092270679,0.9922954440969571,-1.0867229553827045,-0.9120151776460439,994.6913817119598,0.001817987143714817,6.905224483119498,0.9996336297740107,0.0034106344266291444,-0.9041557762906596
2,-0.78722523,0.78722523,859.5264613203134,0.00141392826434747,6.798598722721996,0.9841979699842197,-1.3159837092985036,-0.842656748378585,990.2351923017328,0.0022208355568464674,6.903065479121852,0.9993210819331493,0.00048221528472591757,-0.8396567524945379
3,-0.19304354,0.19304354,877.9088372062073,0.0016042250199217209,6.817524891594889,0.9869378135525751,-0.519051190141889,-0.9521375576601316,990.7029638505711,0.0013543698984735664,6.903087672380282,0.9993242947363732,-0.003327367220116173,-0.9417974509612608
4,-0.51996678,0.51996678,859.079349647411,0.0017117799985148095,6.803019931061582,0.984838005445962,-0.8304565938665043,-0.9760196636660521,998.3054148191588,0.001161582865144559,6.9069069989543035,0.9998771988882678,0.00013525872277231343,-0.9561396877334801
5,0.50634546,0.50634546,838.1951961453551,0.0017961084358505915,6.78648777413731,0.9824447306039052,-0.8051674743250823,-1.0048469782115361,998.2348155267625,0.001231637797566086,6.906872404668958,0.9998721908525241,-0.0009570102814393522,-0.9898476091376872
6,0.73591758,0.73591758,811.7480791429288,0.0018807333735367067,6.758789583293268,0.9784350067898151,-1.222815520663465,-0.9576249126138571,991.3075884648468,0.0025186002233090476,6.903722391657765,0.9994161797629626,0.0004854812470966863,-0.9469711339581586
7,-0.57972535,0.57972535,794.3965567318924,0.001959778345741889,6.741832270497367,0.9759801843314261,-0.9180986615281821,-0.960851356892013,998.3238760789467,0.0012891410770447989,6.9069085935601375,0.9998774297311059,-0.003095940865811997,-0.9508869745134496
8,-0.66293485,0.66293485,772.8991595048532,0.0020161822266912327,6.7191238088957554,0.9726927978093954,-1.0638556695663954,-0.9459840591472782,996.837744656363,0.0014070021671551659,6.9061575725370155,0.9997687083023942,-0.003062917190824521,-0.9397935661094703
9,-0.03672305,0.03672305,756.9642346891872,0.0022241109831868957,6.709702335838628,0.9713288998893586,-0.4203752335583486,-1.0453039863352704,989.131771630593,0.0014257041151624118,6.902321584225767,0.9992133921169873,-0.0029918747820341096,-1.0345746045170523
10,-0.49111231,0.49111231,737.2846528876709,0.00235965784366824,6.691826183195692,0.9687410617391962,-0.7711308650880007,-1.067079025685645,998.2785241295956,0.0012101371793513472,6.906893066811056,0.9998751820039566,0.00018107170209624712,-1.0578517991619985
11,-0.12152173,0.12152173,687.1618193733144,0.0032091535742669,6.651948837309719,0.9629682246487877,-0.38489095586175637,-1.161500774669534,990.7381377400194,0.0013585254619113596,6.90310956631193,0.9993274642076071,-0.0007419708837739236,-1.1577503582207649
12,-0.26608155,0.26608155,627.2132510173166,0.004203185589620343,6.598317794830759,0.9552043360463439,-0.4522263904072643,-1.2277508642197263,993.9019995402778,0.0012608811916651828,6.904700320107986,0.9995577494061717,-0.004408260213530468,-1.2212302452247679
13,0.28549799,0.28549799,565.0428272594135,0.005187590672515859,6.53480764692552,0.9460103004529756,-0.4506500084628495,-1.282810186516701,994.6931995202442,0.001218326359283371,6.905092853718693,0.9996145744665355,-0.001509843347706763,-1.2867461197962728
14,0.34452813,0.34452813,515.3943731980024,0.0059493953442565865,6.4753697852738386,0.9374057886758242,-0.5084256266862761,-1.3281643322047736,996.8023850054644,0.0012281137675451237,6.906154295964111,0.9997682339698835,-0.0015127416643538893,-1.3283386830352701
15,-0.37848899,0.37848899,1000.0,0.0010000000000000002,6.907755278982141,1.0000000000000007,-0.5521713153640455,-1.338336890244138,997.4481400829075,0.0012512276169362342,6.906478404194177,0.9998151534418358,-0.003170731248184566,-1.3480689520462714
16,-0.71997082,0.71997082,951.2552096591088,0.0012331556025694816,6.878127024533843,0.9957108708615601,-1.299974610883698,-1.2230989336228308,984.109494888035,0.001686041592716214,6.899695985745926,0.9988332978064912,0.005684952329169768,-1.240681758029059
17,1.03428449,1.03428449,699.4814119322112,0.002348223345256617,6.668370151746293,0.9653454533972551,-2.120332324674819,-1.0043959026526807,928.330367209257,0.00311486565724509,6.872483979517365,0.9948939564242975,0.02320903357046511,-1.0368420212203027
18,-0.75375861,0.75375861,636.1404608170444,0.002551632388727211,6.591532541068982,0.9542220699573262,-1.2423244629241283,-0.9411934860967031,991.8108050813117,0.0015015192207909064,6.903665892387439,0.9994080006558512,0.008350122831851436,-0.9828785454231908
19,0.54228263,0.54228263,648.2311130943427,0.0025634562136689527,6.599069219107012,0.9553131158519255,-0.8546585554672017,-0.9577311363682077,998.6159022358567,0.0012687722597695445,6.907067261399628,0.999900399253488,-0.0007899059770632988,-0.9949916997234483
20,0.47414052,0.47414052,668.5834918759713,0.002714629048583493,6.619039932725183,0.9582041727599394,-0.7538842419459986,-0.988124972116609,998.236919539751,0.0011937724349410804,6.906873204630383,0.9998723066588017,-0.0006576067375689831,-1.0232214194877434
21,0.19070091,0.19070091,705.0792180158599,0.0028258842791467095,6.663361989666222,0.9646204476786377,-0.4602177201298252,-1.063543662901395,991.4782995182838,0.001339928845473633,6.903468074847609,0.9993793636338606,-0.0030138708259261904,-1.0969877705546036
22,0.17957193,0.17957193,708.287570005687,0.0039678385062162265,6.680029306464851,0.9670332889165637,-0.42466156323485205,-1.1310568050504641,991.7739984485513,0.0014040271828061454,6.903618185033227,0.9994010943089576,-0.00605753306321688,-1.162553764947789
