section,t,y_obs,h_true,h_mean,h_q05,h_q95,vol_mean,vol_q05,vol_q95,ess,parameter,true_value,post_mean,post_std,ci_low,ci_high,value
filtered,26.0,-0.1592147,-0.88246796,-1.1703910018896762,-1.2748284807357309,-1.0695577593154912,0.5569969577355866,0.5286576398067049,0.5857988078576513,992.1616352877805,,,,,,,
filtered,27.0,0.04967463,-0.9818256,-1.169696523396907,-1.268672642171017,-1.0702619959216775,0.5571904025232967,0.5302873120632925,0.5855925736870184,995.3971298989676,,,,,,,
filtered,28.0,-1.02490535,-0.75812963,-1.1535643661900186,-1.2539481632050544,-1.0510544098939572,0.5617029187966712,0.534205821050858,0.5912435756478084,768.9877985797775,,,,,,,
filtered,29.0,-1.42391933,-0.62014399,-1.126446259801423,-1.2217222034238155,-1.0264013017593165,0.5693709466720662,0.5428831900994547,0.5985766746190374,605.2209744099187,,,,,,,
filtered,30.0,0.21930898,-0.68177242,-1.1342358950626963,-1.2282091908355783,-1.0366763281982654,0.567157663635377,0.5411252044382558,0.5955093649588322,984.7421468581365,,,,,,,
filtered,31.0,0.23875315,-0.6033859,-1.1387934558471748,-1.2306101820644444,-1.0445996295461735,0.5658667073337743,0.5404759757795191,0.593154831880045,983.7863381562534,,,,,,,
filtered,32.0,-0.54514369,-0.49628224,-1.1342283153788615,-1.2296378608997283,-1.0423563577778079,0.5671598130773375,0.5407387977763256,0.5938205088781734,942.0780664756553,,,,,,,
filtered,33.0,0.72868991,-0.58074654,-1.1439191647838292,-1.2317189747910429,-1.0534086394208988,0.5644183300972145,0.5401764209078346,0.5905480235587355,892.6164694751958,,,,,,,
filtered,34.0,-0.73939228,-0.62201979,-1.13452166835279,-1.2330388960507703,-1.0413171392064644,0.5670766301690455,0.5398200433473693,0.594129143706426,879.2309734431666,,,,,,,
filtered,35.0,-0.15366475,-0.80335228,-1.136893044362128,-1.2341336896528012,-1.0384250130993182,0.5664046526674827,0.5395246284444799,0.5949889134009639,993.536746113077,,,,,,,
filtered,36.0,-0.08673536,-0.7346776,-1.1390054565432477,-1.2378230746558188,-1.038726001602117,0.5658067284448024,0.538530288815407,0.5948993777273218,996.3501766626284,,,,,,,
filtered,37.0,-0.51962424,-0.63906447,-1.1397910133280356,-1.239521820634838,-1.0464354415720898,0.5655845354267629,0.5380730699362253,0.5926106212985401,945.820563889263,,,,,,,
