t,S,I,R,reported_cases
135,572.1754,14.1660,9654.7947,7
136,568.3146,8.2870,9656.2113,6
137,572.6966,1.0000,9657.0400,0
138,567.2917,6.6562,9657.1400,3
139,559.3128,1.0000,9657.8057,1
140,561.7727,1.0000,9657.9057,1
141,560.1640,1.9338,9658.0057,1
142,567.2000,5.0862,9658.1990,4
143,572.6788,6.1463,9658.7077,4
144,571.7022,4.1018,9659.3223,2
145,561.3092,1.0000,9659.7325,0
146,556.1547,1.0000,9659.8325,0
147,559.4810,1.1724,9659.9325,0
148,568.4631,4.7719,9660.0497,0
149,561.8526,7.1182,9660.5269,3
150,547.2513,6.1865,9661.2387,2
151,538.1528,6.6186,9661.8574,6
152,551.4078,12.3034,9662.5192,7
153,554.8388,1.0000,9663.7496,1
154,551.8844,1.0000,9663.8496,0
155,571.8408,1.0000,9663.9496,1
156,574.1781,8.9727,9664.0496,8
157,576.5139,17.3365,9664.9469,10
158,571.9750,7.6439,9666.6805,2
159,567.6077,4.4077,9667.4449,4
160,569.9493,1.0000,9667.8857,0
161,564.1568,7.2893,9667.9857,4
162,557.6673,9.3894,9668.7146,6
163,561.9912,1.0000,9669.6535,0
164,551.6312,2.0932,9669.7535,1
165,556.0598,1.0000,9669.9629,1
166,563.1813,2.1249,9670.0629,0
167,577.6572,1.0000,9670.2754,0
168,580.3290,1.0000,9670.3754,0
169,574.9771,1.0000,9670.4754,1
170,564.5540,1.0000,9670.5754,0
171,590.0303,1.0000,9670.6754,1
172,586.9078,1.0000,9670.7754,1
173,575.7563,3.8154,9670.8754,2
174,560.7463,6.9958,9671.2569,7
175,562.3483,4.7272,9671.9565,1
176,568.4211,1.0000,9672.4292,0
177,564.4994,10.1562,9672.5292,3
178,581.0063,3.7939,9673.5448,1
179,584.1341,1.0000,9673.9242,1
180,596.2418,1.0000,9674.0242,1
181,596.0483,1.0000,9674.1242,0
182,595.2145,1.0000,9674.2242,0
183,600.0173,1.0000,9674.3242,1
184,607.8478,2.2798,9674.4242,1
185,594.6379,6.2725,9674.6522,2
186,618.3520,7.8581,9675.2794,5
187,616.5370,11.3019,9676.0652,5
188,628.8452,7.7741,9677.1954,5
189,623.6901,4.9664,9677.9728,1
190,631.5052,12.0545,9678.4695,7
191,627.0291,12.6478,9679.6749,6
192,636.3117,1.0000,9680.9397,0
193,628.4684,1.0000,9681.0397,0
194,619.2980,1.0000,9681.1397,0
195,616.8288,1.0000,9681.2397,0
196,627.3021,1.0000,9681.3397,0
197,632.8687,1.0000,9681.4397,0
198,632.7133,4.4273,9681.5397,3
199,632.5084,3.0152,9681.9824,1
