method,RMSE_mean,RMSE_std,ESS_mean,ESS_N_pct,time_s
multinomial,0.45571233302551944,0.0026984378778236884,762.9103131270964,76.29103131270965,0.23666224479675294
systematic,0.45324059493275703,0.0018348750771018459,763.9189527274353,76.39189527274354,0.2377243995666504
stratified,0.4542762197542861,0.0018281782549765533,762.6867764540999,76.26867764541,0.24233617782592773
residual,0.45230246109280126,0.001820506112160856,762.2619456937003,76.22619456937004,0.2180323123931885
