N,RMSE,RMSE_Kalman,ESS_mean,ESS_N_pct,log_likelihood,time_s
100,0.5344747014947026,0.522390524090019,81.04181962421647,81.04181962421647,-847.2325853249424,0.11098957061767578
500,0.5252630825629433,0.522390524090019,401.95013490910065,80.39002698182013,-846.7739812166363,0.10570240020751953
1000,0.521441256703636,0.522390524090019,797.4520096047199,79.74520096047199,-844.1688147908384,0.10925412178039551
5000,0.5205668378187709,0.522390524090019,3996.427368991323,79.92854737982647,-845.1530086796636,0.20782828330993652
